"en_name";"en_vote";"vote_general";"fr_name";"fr_vote";"it_name";"it_vote";"es_name";"es_vote";"de_name";"de_vote";"earliest_begin";"latest_begin";"earliest_end";"latest_end";"link_chronontology"
"Transitional Samarra";;"Ucorrected";"Transitional Samarra";;"Samarra di transizione";;"Transicional Samarra";;"Übergangs Samarra";;-6100;-6100;-5900;-5900;"http://chronontology.dainst.org/period/SlrXChDjnlXN"
"<c.1950";;"Xnot-a-temponym";"<c.1950";;"<c.1950";;"<c.1950";;"<c.1950";;1673;1673;1950;1950;"http://chronontology.dainst.org/period/nXXFqrTOhWwo"
"1200 BC Middle East";;"Xnot-a-temponym";"1200 avant JC";;"1200 a.C.";;"1200 aC";;"1200 v";;-1200;-1200;-1199;-1199;"http://chronontology.dainst.org/period/m4ZD98xQjg6H"
"1200 BC";;"Xnot-a-temponym";"1200 avant JC Moyen-Orient";;"1200 aC Medio Oriente";;"1200 aC Oriente Medio";;"1200 v. Chr. Naher Osten";;-1200;-1200;-1199;-1199;"http://chronontology.dainst.org/period/m4ZD98xQjg6H"
"12th dynasty";;"Xnot-a-temponym";"12e dynastie";;"XII dinastia";;"12a dinastía";;"12. Dynastie";;-1985;-1985;-1773;-1773;"http://chronontology.dainst.org/period/Xit8ctn0NzTi"
"13th Century AD Eastern Mediterranean";;"Xnot-a-temponym";"13ème siècle après JC";;"13th Century AD";;"Siglo XIII dC";;"13. Jahrhundert n. Chr";;1200;1200;1300;1300;"http://chronontology.dainst.org/period/FJQ03j7scQKV"
"13th Century AD";;"Xnot-a-temponym";"Méditerranée orientale du XIIIe siècle";;"XIII secolo d.C. Mediterraneo orientale";;"Siglo XIII dC Mediterráneo Oriental";;"13. Jahrhundert n. Chr. Östliches Mittelmeer";;1200;1200;1300;1300;"http://chronontology.dainst.org/period/FJQ03j7scQKV"
"13th dynasty";;"Uok";"13e dynastie";;"13a dinastia";;"13a dinastía";;"13. Dynastie";;-1773;-1773;-1650;-1650;"http://chronontology.dainst.org/period/VvHC6rBrUWBu"
"14th dynasty";;"Uok";"14e dynastie";;"14a dinastia";;"14a dinastía";;"14. Dynastie";;-1700;-1700;-1650;-1650;"http://chronontology.dainst.org/period/bXlKLTlAcELp"
"1500 AD Middle East";;"Xnot-a-temponym";"1500 AD";;"1500 AD";;"1500 AD";;"1500 n. Chr";;1500;1500;1500;1500;"http://chronontology.dainst.org/period/tE7II9I2P39A"
"1500 AD";;"Xnot-a-temponym";"1500 AD Moyen-Orient";;"1500 d.C. Medio Oriente";;"1500 dC Oriente Medio";;"1500 n. Chr. Naher Osten";;1500;1500;1500;1500;"http://chronontology.dainst.org/period/tE7II9I2P39A"
"15th dynasty";;"Uok";"15e dynastie";;"15a dinastia";;"15a dinastía";;"15. Dynastie";;-1650;-1650;-1550;-1550;"http://chronontology.dainst.org/period/A2iEDABZXVa4"
"16th and 17th Centuries";;"Xnot-a-temponym";"XVIe et XVIIe siècles";;"Secoli XVI e XVII";;"Siglos XVI y XVII";;"16. und 17. Jahrhundert";;1500;1500;1700;1700;"http://chronontology.dainst.org/period/4iODbqvjJh3N"
"16th Century";;"Xnot-a-temponym";"16e siècle";;"16 ° secolo";;"siglo 16";;"16. Jahrhundert";;1500;1500;1600;1600;"http://chronontology.dainst.org/period/sGSq47CSY2G0"
"16th dynasty";;"Xnot-a-temponym";"16e dynastie";;"XVI dinastia";;"XVI dinastía";;"16. Dynastie";;-1650;-1650;-1580;-1580;"http://chronontology.dainst.org/period/ClzdU2mo28pZ"
"17th Century::1st half";;"Xnot-a-temponym";"17ème siècle";;"17 ° secolo";;"siglo 17";;"17. Jahrhundert";;1600;1600;1649;1649;"http://chronontology.dainst.org/period/lGkmhrhEUw9o"
"17th Century::1st quarter";;"Xnot-a-temponym";"17ème siècle :: 1ère moitié";;"17 ° secolo :: prima metà";;"Siglo 17 :: primera mitad";;"17. Jahrhundert :: 1. Hälfte";;1600;1600;1624;1624;"http://chronontology.dainst.org/period/MIglVbfkNV2D"
"17th Century::2nd half";;"Xnot-a-temponym";"17ème siècle :: 1er trimestre";;"17 ° secolo :: 1 ° trimestre";;"Siglo XVII :: 1er trimestre";;"17. Jahrhundert :: 1. Quartal";;1650;1650;1699;1699;"http://chronontology.dainst.org/period/jcOIjbhsWI4Z"
"17th Century::2nd quarter";;"Xnot-a-temponym";"17e siècle :: 2e moitié";;"17 ° secolo :: seconda metà";;"Siglo XVII :: Segunda mitad";;"17. Jahrhundert :: 2. Hälfte";;1625;1625;1649;1649;"http://chronontology.dainst.org/period/Ej7hcTXz8Zwm"
"17th Century::2nd/3rd quarter";;"Xnot-a-temponym";"17e siècle :: 2e trimestre";;"17 ° secolo :: 2 ° trimestre";;"Siglo XVII :: 2do cuarto";;"17. Jahrhundert :: 2. Quartal";;1625;1625;1674;1674;"http://chronontology.dainst.org/period/hhXfonU5o3R2"
"17th Century::3rd quarter";;"Xnot-a-temponym";"17e siècle :: 2e / 3e trimestre";;"17 Secolo :: 2 ° / 3 ° trimestre";;"Siglo XVII :: segundo / tercer trimestre";;"17. Jahrhundert :: 2./3. Quartal";;1650;1650;1674;1674;"http://chronontology.dainst.org/period/KZrMaeXM37iS"
"17th Century::4th quarter";;"Xnot-a-temponym";"XVIIe siècle :: 3e trimestre";;"17 ° secolo :: 3 ° trimestre";;"Siglo XVII :: tercer trimestre";;"17. Jahrhundert :: 3. Quartal";;1675;1675;1699;1699;"http://chronontology.dainst.org/period/dGjnevv8RFcO"
"17th Century";;"Xnot-a-temponym";"17e siècle :: 4e trimestre";;"17 ° secolo :: 4 ° trimestre";;"Siglo 17 :: cuarto trimestre";;"17. Jahrhundert :: 4. Quartal";;1600;1600;1700;1700;"http://chronontology.dainst.org/period/Ef9SyESSafJ1"
"17th dynasty";;"Uok";"17e dynastie";;"17a dinastia";;"17a dinastía";;"17. Dynastie";;-1650;-1650;-1550;-1550;"http://chronontology.dainst.org/period/UPTCh8sHTlxC"
"1870 - 1930";;"Xnot-a-temponym";"1870 - 1930";;"1870 - 1930";;"1870 - 1930";;"1870 - 1930";;1870;1870;1930;1930;"http://chronontology.dainst.org/period/7ZYDkD8TGgUh"
